rank,action_label,action,expected_positive_clv_prob,threshold,edge_vs_threshold,prior_positive_clv_prob,matched_feature_groups,matched_training_rows,league,game,event_date_et,event_time_et,event_datetime_et,event_status,minutes_to_event,event_age_minutes,started,market,market_family,pick,entry_odds,entry_odds_source,source_count,opposing_count,has_lock,handicappers,primary_capper,consensus_score,suggested_units,model_score_band,source_count_bucket,suggested_units_bucket,support_status,diagnostic_reason,data_quality_flags,notes,row_key
186,stale_started,Started or event time has passed; do not enter from this table.,0.2848,0.36,-0.0752,0.3126,7,613,MLB,Milwaukee Brewers @ St. Louis Cardinals,2026-07-08,19:45,,,,,Yes,RL,spread,Brewers -1.5,120,explicit_american,1,1,No,McBets,McBets,1.0,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: +120; Opposed by: A11Bets,MLB|Milwaukee Brewers @ St. Louis Cardinals|RL|Brewers -1.5|19:45|McBets
187,stale_started,Started or event time has passed; do not enter from this table.,0.283,0.36,-0.077,0.3126,7,566,MLB,Toronto Blue Jays @ San Francisco Giants,2026-07-08,15:45,,,,,Yes,Team Total,team_total,San Francisco Giants Team Total Under 3.5 Runs,-145,explicit_american,1,0,No,SRC Group,SRC Group,4.2,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -145,MLB|Toronto Blue Jays @ San Francisco Giants|Team Total|San Francisco Giants Team Total Under 3.5 Runs|15:45|SRC Group
188,stale_started,Started or event time has passed; do not enter from this table.,0.283,0.36,-0.077,0.3126,7,566,MLB,Toronto Blue Jays @ San Francisco Giants,2026-07-08,15:45,,,,,Yes,Team Total,team_total,Toronto Blue Jays Team Total Over 3.5 Runs,-120,explicit_american,1,0,No,SRC Group,SRC Group,4.2,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -120,MLB|Toronto Blue Jays @ San Francisco Giants|Team Total|Toronto Blue Jays Team Total Over 3.5 Runs|15:45|SRC Group
189,stale_started,Started or event time has passed; do not enter from this table.,0.283,0.36,-0.077,0.3126,7,566,MLB,Chicago Cubs @ Baltimore Orioles,2026-07-08,18:35,,,,,Yes,Team Total,team_total,Chicago Cubs Team Total Under 4.5,,missing,1,0,No,SRC Group,SRC Group,4.2,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started;missing_entry_odds,Odds: EV,MLB|Chicago Cubs @ Baltimore Orioles|Team Total|Chicago Cubs Team Total Under 4.5|18:35|SRC Group
190,stale_started,Started or event time has passed; do not enter from this table.,0.283,0.36,-0.077,0.3126,7,566,MLB,Houston Astros vs. Washington Nationals,,18:45,,,,,Yes,Team Total,team_total,Houston Astros Team Total Under 4.5,-115,explicit_american,1,0,No,SRC Group,SRC Group,4.2,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -115,MLB|Houston Astros vs. Washington Nationals|Team Total|Houston Astros Team Total Under 4.5|18:45|SRC Group
191,stale_started,Started or event time has passed; do not enter from this table.,0.283,0.36,-0.077,0.3126,7,566,MLB,Houston Astros @ Washington Nationals,2026-07-08,18:45,,,,,Yes,Team Total,team_total,Washington Nationals Team Total Over 4.5,-140,explicit_american,1,0,No,SRC Group,SRC Group,4.2,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -140,MLB|Houston Astros @ Washington Nationals|Team Total|Washington Nationals Team Total Over 4.5|18:45|SRC Group
192,stale_started,Started or event time has passed; do not enter from this table.,0.2825,0.36,-0.0775,0.3126,7,252,MLB,Chicago Cubs @ Baltimore Orioles,2026-07-08,18:35,,,,,Yes,Team Total,team_total,Baltimore Orioles Team Total Over 4.5,-140,explicit_american,2,0,Yes,"SRC Group, midwestmikesports",SRC Group,3.7,1.5,score_under_6,sources_2,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -140,"MLB|Chicago Cubs @ Baltimore Orioles|Team Total|Baltimore Orioles Team Total Over 4.5|18:35|SRC Group, midwestmikesports"
193,stale_started,Started or event time has passed; do not enter from this table.,0.2819,0.36,-0.0781,0.3126,6,237,MLB,Arizona Diamondbacks @ San Diego Padres,2026-07-08,22:00,,,,,Yes,RL,spread,Arizona Diamondbacks +1.5,,missing,2,5,No,"DPatt, Sean Perry Wins",DPatt,5.6,0.5,score_under_6,sources_2,units_under_1,strong_support,event started/stale,event_started;missing_entry_odds,"MLB; Soft opp: BBank, DirtyBubbleBets, DommyLocked, LocksByTommy, TMS","MLB|Arizona Diamondbacks @ San Diego Padres|RL|Arizona Diamondbacks +1.5|22:00|DPatt, Sean Perry Wins"
194,stale_started,Started or event time has passed; do not enter from this table.,0.2794,0.36,-0.0806,0.3126,7,733,MLB,Milwaukee Brewers @ St. Louis Cardinals,2026-07-08,19:45,,,,,Yes,F5,moneyline,Brewers F5 ML,-150,explicit_american,1,1,No,DirtyBubbleBets,DirtyBubbleBets,1.0,0.5,score_under_6,sources_1,units_under_1,strong_support,event started/stale,event_started,Odds: -150; Soft opp: Relentless Sports Consulting,MLB|Milwaukee Brewers @ St. Louis Cardinals|F5|Brewers F5 ML|19:45|DirtyBubbleBets
195,stale_started,Started or event time has passed; do not enter from this table.,0.2793,0.36,-0.0807,0.3126,7,731,MLB,Arizona Diamondbacks @ San Diego Padres,2026-07-08,22:00,,,,,Yes,ML,moneyline,Arizona Diamondbacks ML,110,explicit_american,1,5,No,Caruso,Caruso,2.4,0.5,score_under_6,sources_1,units_under_1,strong_support,event started/stale,event_started,"Odds: +110; Opposed by: BBank, DirtyBubbleBets, DommyLocked, LocksByTommy, TMS",MLB|Arizona Diamondbacks @ San Diego Padres|ML|Arizona Diamondbacks ML|22:00|Caruso
196,stale_started,Started or event time has passed; do not enter from this table.,0.2793,0.36,-0.0807,0.3126,6,730,MLB,Los Angeles Angels @ Texas Rangers,2026-07-08,20:05,,,,,Yes,Spread/ML,moneyline,Los Angeles Angels,,missing,1,5,No,TheSharpSheets,TheSharpSheets,3.5,0.5,score_under_6,sources_1,units_under_1,strong_support,event started/stale,event_started;missing_entry_odds,"MLB; Opposed by: Duck Investments, Insider, LocksByTommy, TCC, ThisGirlBetz",MLB|Los Angeles Angels @ Texas Rangers|Spread/ML|Los Angeles Angels|20:05|TheSharpSheets
197,stale_started,Started or event time has passed; do not enter from this table.,0.2793,0.36,-0.0807,0.3126,6,730,MLB,Colorado Rockies @ Los Angeles Dodgers,2026-07-08,22:10,,,,,Yes,ML,moneyline,Los Angeles Dodgers ML,-212,explicit_american,1,5,No,ynosports,ynosports,1.0,0.5,score_under_6,sources_1,units_under_1,strong_support,event started/stale,event_started,"MLB Regular Season; Odds: -212; Opposed by: PatsPicks, PorterPicks, TheSharpSheets; Soft opp: MrBigBets, ParlaySafari",MLB|Colorado Rockies @ Los Angeles Dodgers|ML|Los Angeles Dodgers ML|22:10|ynosports
198,stale_started,Started or event time has passed; do not enter from this table.,0.2781,0.36,-0.0819,0.3126,7,510,MLB,Seattle Mariners @ Miami Marlins,2026-07-08,18:40,,,,,Yes,ML,moneyline,Miami Marlins ML,115,explicit_american,2,8,No,"ThisGirlBetz, LocksByTommy",ThisGirlBetz,3.4,1.5,score_under_6,sources_2,units_1_to_1_99,strong_support,event started/stale,event_started,"Wednesday MLB; Odds: +115; Opposed by: A11Bets, AlgoPicks, Caruso, Insider, NcSharp, TheGamblingGawd, TheGuru, yourdailycapper","MLB|Seattle Mariners @ Miami Marlins|ML|Miami Marlins ML|18:40|ThisGirlBetz, LocksByTommy"
199,stale_started,Started or event time has passed; do not enter from this table.,0.278,0.36,-0.082,0.3126,7,504,MLB,Chicago Cubs @ Baltimore Orioles,2026-07-08,18:35,,,,,Yes,ML,moneyline,Chicago Cubs ML,110,explicit_american,2,14,No,"DommyLocked, FFMI",DommyLocked,5.8,1.5,score_under_6,sources_2,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: +110; Opposed by: AlgoPicks, AndersPicks, Caruso, CashCing, ColePicks, DquanPicks, LocksByTommy, McBets, NickyCashin, PatsPicks, SRC Group, TPD, TTW, TheSharpSheets","MLB|Chicago Cubs @ Baltimore Orioles|ML|Chicago Cubs ML|18:35|DommyLocked, FFMI"
200,stale_started,Started or event time has passed; do not enter from this table.,0.2774,0.36,-0.0826,0.3126,7,503,MLB,Chicago Cubs @ Baltimore Orioles,2026-07-08,18:35,,,,,Yes,F5,moneyline,Baltimore Orioles F5 ML,-120,explicit_american,2,1,No,"SRC Group, PorterPicks",SRC Group,3.6,1.5,score_under_6,sources_2,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -120; Soft opp: LearLocks,"MLB|Chicago Cubs @ Baltimore Orioles|F5|Baltimore Orioles F5 ML|18:35|SRC Group, PorterPicks"
201,stale_started,Started or event time has passed; do not enter from this table.,0.2774,0.36,-0.0826,0.3126,7,283,MLB,Milwaukee Brewers @ St. Louis Cardinals,2026-07-08,19:45,,,,,Yes,ML,moneyline,Milwaukee Brewers ML,-144,explicit_american,12,1,Yes,"Mike's Research Bot 1.0, ParlaySafari, AndersPicks, MrBigBets, TheGamblingGawd, SnewJ, BulliesPicks, CashItBaby, VinnyWins, DPatt, PatsPicks, McBets",Mike's Research Bot 1.0,6.2,1.5,score_6_to_6_99,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -144; Opposed by: A11Bets,"MLB|Milwaukee Brewers @ St. Louis Cardinals|ML|Milwaukee Brewers ML|19:45|Mike's Research Bot 1.0, ParlaySafari, AndersPicks, MrBigBets, TheGamblingGawd, SnewJ, BulliesPicks, CashItBaby, VinnyWins, DPatt, PatsPicks, McBets"
202,stale_started,Started or event time has passed; do not enter from this table.,0.2772,0.36,-0.0828,0.3126,7,505,MLB,Atlanta Braves @ Pittsburgh Pirates,2026-07-08,18:40,,,,,Yes,ML,moneyline,Braves ML,100,explicit_american,2,5,No,"ParlaySafari, DommyLocked",ParlaySafari,5.4,1.5,score_under_6,sources_2,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: +100; Opposed by: CashCing, HammeringHank, McBets, NickyCashin, TheGuru","MLB|Atlanta Braves @ Pittsburgh Pirates|ML|Braves ML|18:40|ParlaySafari, DommyLocked"
203,stale_started,Started or event time has passed; do not enter from this table.,0.2769,0.36,-0.0831,0.3126,7,286,MLB,New York Yankees @ Tampa Bay Rays,2026-07-08,18:40,,,,,Yes,ML,moneyline,Rays ML,-130,explicit_american,12,2,No,"ParlaySafari, DommyLocked, ThisGirlBetz, Mike's Research Bot 2.0, Duck Investments, HammeringHank, PorterPicks, CashCing, PatsPicks, PardonMyPick, AFS, TheGuru",ParlaySafari,6.0,1.5,score_6_to_6_99,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: -130; Opposed by: JewishSharp, baseball emoji MATCHUP","MLB|New York Yankees @ Tampa Bay Rays|ML|Rays ML|18:40|ParlaySafari, DommyLocked, ThisGirlBetz, Mike's Research Bot 2.0, Duck Investments, HammeringHank, PorterPicks, CashCing, PatsPicks, PardonMyPick, AFS, TheGuru"
204,stale_started,Started or event time has passed; do not enter from this table.,0.2753,0.36,-0.0847,0.3126,7,801,MLB,Milwaukee Brewers @ St. Louis Cardinals,2026-07-08,19:45,,,,,Yes,ML,moneyline,Cardinals ML,130,explicit_american,1,12,No,A11Bets,A11Bets,3.7,1.0,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: +130; Opposed by: AndersPicks, BulliesPicks, CashItBaby, DPatt, McBets, Mike's Research Bot 1.0, MrBigBets, ParlaySafari, PatsPicks, SnewJ, TheGamblingGawd, VinnyWins",MLB|Milwaukee Brewers @ St. Louis Cardinals|ML|Cardinals ML|19:45|A11Bets
205,stale_started,Started or event time has passed; do not enter from this table.,0.2752,0.36,-0.0848,0.3126,7,802,MLB,Toronto Blue Jays @ San Francisco Giants,2026-07-08,15:45,,,,,Yes,F5,moneyline,Toronto Blue Jays F5 ML,-120,explicit_american,1,1,No,SRC Group,SRC Group,4.1,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -120; Opposed by: TheBettingQueen,MLB|Toronto Blue Jays @ San Francisco Giants|F5|Toronto Blue Jays F5 ML|15:45|SRC Group
206,stale_started,Started or event time has passed; do not enter from this table.,0.2752,0.36,-0.0848,0.3126,7,800,MLB,Oakland Athletics @ Detroit Tigers,2026-07-08,18:40,,,,,Yes,F5,moneyline,Tigers F5 ML,,missing,1,0,Yes,BeezoWins,BeezoWins,4.5,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started;missing_entry_odds,,MLB|Oakland Athletics @ Detroit Tigers|F5|Tigers F5 ML|18:40|BeezoWins
207,stale_started,Started or event time has passed; do not enter from this table.,0.2752,0.36,-0.0848,0.3126,7,800,MLB,Arizona Diamondbacks @ San Diego Padres,2026-07-08,22:00,,,,,Yes,F5,moneyline,Padres F5 ML,,missing,1,0,No,BeezoWins,BeezoWins,4.5,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started;missing_entry_odds,,MLB|Arizona Diamondbacks @ San Diego Padres|F5|Padres F5 ML|22:00|BeezoWins
208,stale_started,Started or event time has passed; do not enter from this table.,0.2752,0.36,-0.0848,0.3126,7,800,MLB,Oakland Athletics @ Detroit Tigers,2026-07-08,18:40,,,,,Yes,ML,moneyline,Athletics ML,120,explicit_american,1,5,No,BrandonTheProfit,BrandonTheProfit,2.8,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: +120; Opposed by: DPatt, Mike's Research Bot 1.0, Picks4Dayzzz, SnewJ, Tbsportsbetting",MLB|Oakland Athletics @ Detroit Tigers|ML|Athletics ML|18:40|BrandonTheProfit
209,stale_started,Started or event time has passed; do not enter from this table.,0.2752,0.36,-0.0848,0.3126,6,799,MLB,Toronto Blue Jays @ San Francisco Giants,2026-07-08,15:45,,,,,Yes,F5,moneyline,Giants F5 ML,105,explicit_american,1,1,No,TheBettingQueen,TheBettingQueen,3.0,1.5,score_under_6,sources_1,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: +105; Opposed by: SRC Group,MLB|Toronto Blue Jays @ San Francisco Giants|F5|Giants F5 ML|15:45|TheBettingQueen
210,stale_started,Started or event time has passed; do not enter from this table.,0.2723,0.36,-0.0877,0.3126,6,443,MLB,New York Yankees @ Tampa Bay Rays,2026-07-08,18:40,,,,,Yes,ML,moneyline,New York Yankees ML,109,explicit_american,2,12,No,"baseball emoji MATCHUP, JewishSharp",baseball emoji MATCHUP,1.1,0.5,score_under_6,sources_2,units_under_1,strong_support,event started/stale,event_started,"MLB; Odds: +109; Opposed by: AFS, CashCing, DommyLocked, Duck Investments, HammeringHank, Mike's Research Bot 2.0, PardonMyPick, ParlaySafari, PatsPicks, PorterPicks, TheGuru, ThisGirlBetz","MLB|New York Yankees @ Tampa Bay Rays|ML|New York Yankees ML|18:40|baseball emoji MATCHUP, JewishSharp"
211,stale_started,Started or event time has passed; do not enter from this table.,0.2642,0.36,-0.0958,0.3126,6,46,MLB,Arizona Diamondbacks @ San Diego Padres,2026-07-08,22:00,,,,,Yes,1st Inning,partial_game,Diamondbacks/Padres NRFI,-118,explicit_american,5,3,No,"BBank, DirtyBubbleBets, DommyLocked, LocksByTommy, TMS",BBank,7.3,2.0,score_7_to_7_99,sources_4_plus,units_2_to_2_99,strong_support,event started/stale,event_started,"Odds: -118; Opposed by: Caruso; Soft opp: DPatt, Sean Perry Wins","MLB|Arizona Diamondbacks @ San Diego Padres|1st Inning|Diamondbacks/Padres NRFI|22:00|BBank, DirtyBubbleBets, DommyLocked, LocksByTommy, TMS"
212,stale_started,Started or event time has passed; do not enter from this table.,0.2614,0.36,-0.0986,0.3126,7,246,MLB,Colorado Rockies @ Los Angeles Dodgers,2026-07-08,22:10,,,,,Yes,RL,spread,Los Angeles Dodgers -1.5,-115,explicit_american,4,5,No,"NickyCashin, CashItBaby, A11Bets, yourdailycapper",NickyCashin,4.5,1.5,score_under_6,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: -115; Opposed by: MrBigBets, ParlaySafari, PatsPicks, PorterPicks, TheSharpSheets","MLB|Colorado Rockies @ Los Angeles Dodgers|RL|Los Angeles Dodgers -1.5|22:10|NickyCashin, CashItBaby, A11Bets, yourdailycapper"
213,stale_started,Started or event time has passed; do not enter from this table.,0.2605,0.36,-0.0995,0.3126,7,491,MLB,Los Angeles Angels @ Texas Rangers,2026-07-08,20:05,,,,,Yes,ML,moneyline,Texas Rangers ML,-150,explicit_american,5,1,Yes,"ThisGirlBetz, Duck Investments, LocksByTommy, TCC, Insider",ThisGirlBetz,3.6,1.5,score_under_6,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -150; Opposed by: TheSharpSheets,"MLB|Los Angeles Angels @ Texas Rangers|ML|Texas Rangers ML|20:05|ThisGirlBetz, Duck Investments, LocksByTommy, TCC, Insider"
214,stale_started,Started or event time has passed; do not enter from this table.,0.2598,0.36,-0.1002,0.3126,7,495,MLB,Atlanta Braves @ Pittsburgh Pirates,2026-07-08,18:40,,,,,Yes,ML,moneyline,Pittsburgh Pirates ML,-115,explicit_american,4,2,No,"NickyCashin, HammeringHank, CashCing, TheGuru",NickyCashin,4.2,1.5,score_under_6,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: -115; Opposed by: DommyLocked, ParlaySafari","MLB|Atlanta Braves @ Pittsburgh Pirates|ML|Pittsburgh Pirates ML|18:40|NickyCashin, HammeringHank, CashCing, TheGuru"
215,stale_started,Started or event time has passed; do not enter from this table.,0.2596,0.36,-0.1004,0.3126,7,483,MLB,Oakland Athletics @ Detroit Tigers,2026-07-08,18:40,,,,,Yes,ML,moneyline,Detroit Tigers ML,-163,explicit_american,5,3,Yes,"Mike's Research Bot 1.0, Picks4Dayzzz, SnewJ, DPatt, Tbsportsbetting",Mike's Research Bot 1.0,5.8,1.5,score_under_6,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: -163; Opposed by: BrandonTheProfit; Soft opp: Five, yourdailycapper","MLB|Oakland Athletics @ Detroit Tigers|ML|Detroit Tigers ML|18:40|Mike's Research Bot 1.0, Picks4Dayzzz, SnewJ, DPatt, Tbsportsbetting"
216,stale_started,Started or event time has passed; do not enter from this table.,0.2596,0.36,-0.1004,0.3126,7,482,MLB,Chicago Cubs @ Baltimore Orioles,2026-07-08,18:35,,,,,Yes,ML,moneyline,Orioles ML,-130,explicit_american,14,2,Yes,"AlgoPicks, AndersPicks, Caruso, CashCing, ColePicks, DquanPicks, LocksByTommy, McBets, NickyCashin, PatsPicks, SRC Group, TPD, TTW, TheSharpSheets",AlgoPicks,5.0,1.5,score_under_6,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: -130; Odds: -125; Opposed by: DommyLocked, FFMI","MLB|Chicago Cubs @ Baltimore Orioles|ML|Orioles ML|18:35|AlgoPicks, AndersPicks, Caruso, CashCing, ColePicks, DquanPicks, LocksByTommy, McBets, NickyCashin, PatsPicks, SRC Group, TPD, TTW, TheSharpSheets"
217,stale_started,Started or event time has passed; do not enter from this table.,0.2596,0.36,-0.1004,0.3126,7,418,MLB,Cleveland Guardians @ Minnesota Twins,2026-07-08,19:40,,,,,Yes,ML,moneyline,Guardians ML,110,explicit_american,3,2,Yes,"LAB, DarthFader, TheSharpSheets",LAB,3.2,1.5,score_under_6,sources_3,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: +110; Opposed by: AI BOT, TheGamblingGawd","MLB|Cleveland Guardians @ Minnesota Twins|ML|Guardians ML|19:40|LAB, DarthFader, TheSharpSheets"
218,stale_started,Started or event time has passed; do not enter from this table.,0.2595,0.36,-0.1005,0.3126,6,481,MLB,Boston Red Sox @ Chicago White Sox,2026-07-08,19:40,,,,,Yes,ML,moneyline,Chicago White Sox ML,-110,explicit_american,10,3,Yes,"ColePicks, DirtyBubbleBets, Duck Investments, NickyCashin, PardonMyPick, PatsPicks, TCC, TPD, ThisGirlBetz, yourdailycapper",ColePicks,4.9,1.5,score_under_6,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started,"Odds: -110; Odds: +105; Opposed by: LocksByTommy, TPD, yourdailycapper","MLB|Boston Red Sox @ Chicago White Sox|ML|Chicago White Sox ML|19:40|ColePicks, DirtyBubbleBets, Duck Investments, NickyCashin, PardonMyPick, PatsPicks, TCC, TPD, ThisGirlBetz, yourdailycapper"
219,stale_started,Started or event time has passed; do not enter from this table.,0.2595,0.36,-0.1005,0.3126,6,481,MLB,Seattle Mariners @ Miami Marlins,2026-07-08,18:40,,,,,Yes,ML,moneyline,Mariners ML,,missing,8,2,No,"TheGamblingGawd, Caruso, A11Bets, AlgoPicks, NcSharp, yourdailycapper, Insider, TheGuru",TheGamblingGawd,4.6,1.5,score_under_6,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started;missing_entry_odds,"Opposed by: LocksByTommy, ThisGirlBetz","MLB|Seattle Mariners @ Miami Marlins|ML|Mariners ML|18:40|TheGamblingGawd, Caruso, A11Bets, AlgoPicks, NcSharp, yourdailycapper, Insider, TheGuru"
220,stale_started,Started or event time has passed; do not enter from this table.,0.2595,0.36,-0.1005,0.3126,6,417,MLB,Boston Red Sox @ Chicago White Sox,2026-07-08,19:40,,,,,Yes,ML,moneyline,Boston Red Sox ML,105,explicit_american,3,10,No,"TPD, LocksByTommy, yourdailycapper",TPD,3.7,1.5,score_under_6,sources_3,units_1_to_1_99,strong_support,event started/stale,event_started,"MLB; Odds: +105; Opposed by: ColePicks, DirtyBubbleBets, Duck Investments, NickyCashin, PardonMyPick, PatsPicks, TCC, TPD, ThisGirlBetz, yourdailycapper","MLB|Boston Red Sox @ Chicago White Sox|ML|Boston Red Sox ML|19:40|TPD, LocksByTommy, yourdailycapper"
221,stale_started,Started or event time has passed; do not enter from this table.,0.2583,0.36,-0.1017,0.3126,7,498,MLB,Philadelphia Phillies @ Cincinnati Reds,2026-07-08,19:00,,,,,Yes,ML,moneyline,Reds ML,-135,explicit_american,7,1,No,"Picks4Dayzzz, AlgoPicks, DarthFader, LocksByTommy, HammeringHank, NickyCashin, TheGuru",Picks4Dayzzz,5.4,1.5,score_under_6,sources_4_plus,units_1_to_1_99,strong_support,event started/stale,event_started,Odds: -135; Opposed by: Caruso,"MLB|Philadelphia Phillies @ Cincinnati Reds|ML|Reds ML|19:00|Picks4Dayzzz, AlgoPicks, DarthFader, LocksByTommy, HammeringHank, NickyCashin, TheGuru"
222,stale_started,Started or event time has passed; do not enter from this table.,0.258,0.36,-0.102,0.3126,4,206,MLB,Houston Astros @ Washington Nationals,2026-07-08,18:45,,,,,Yes,F5,moneyline,Washington Nationals F5 ML,-160,explicit_american,6,0,Yes,"BBank, BeezoWins, PorterPicks, SRC Group, Tbsportsbetting, Travy",BBank,8.5,2.0,score_8_to_8_99,sources_4_plus,units_2_to_2_99,strong_support,event started/stale,event_started,Odds: -160,"MLB|Houston Astros @ Washington Nationals|F5|Washington Nationals F5 ML|18:45|BBank, BeezoWins, PorterPicks, SRC Group, Tbsportsbetting, Travy"
223,stale_started,Started or event time has passed; do not enter from this table.,0.257,0.36,-0.103,0.3126,7,395,MLB,Kansas City Royals @ New York Mets,2026-07-08,19:10,,,,,Yes,F5,moneyline,Mets F5 ML,,missing,3,0,No,"VinnyWins, midwestmikesports, CashCing",VinnyWins,5.3,2.0,score_under_6,sources_3,units_2_to_2_99,strong_support,event started/stale,event_started;missing_entry_odds,,"MLB|Kansas City Royals @ New York Mets|F5|Mets F5 ML|19:10|VinnyWins, midwestmikesports, CashCing"
224,stale_started,Started or event time has passed; do not enter from this table.,0.2563,0.36,-0.1037,0.3126,5,391,MLB,Colorado Rockies @ Los Angeles Dodgers,2026-07-08,22:10,,,,,Yes,ML,moneyline,Colorado Rockies ML,170,explicit_american,3,5,No,"PatsPicks, PorterPicks, TheSharpSheets",PatsPicks,3.2,0.5,score_under_6,sources_3,units_under_1,strong_support,event started/stale,event_started,"MLB; Odds: +170; Opposed by: A11Bets, CashItBaby, NickyCashin, ynosports, yourdailycapper","MLB|Colorado Rockies @ Los Angeles Dodgers|ML|Colorado Rockies ML|22:10|PatsPicks, PorterPicks, TheSharpSheets"
225,stale_started,Started or event time has passed; do not enter from this table.,0.2529,0.36,-0.1071,0.3126,7,469,MLB,Toronto Blue Jays @ San Francisco Giants,2026-07-08,15:45,,,,,Yes,ML,moneyline,Toronto Blue Jays ML,100,explicit_even,8,6,Yes,"Mike's Research Bot 1.0, Picks4Dayzzz, TheGamblingGawd, CashItBaby, DquanPicks, SRC Group, TTW, Sharp Investments",Mike's Research Bot 1.0,5.8,2.0,score_under_6,sources_4_plus,units_2_to_2_99,strong_support,event started/stale,event_started,"Odds: -121; Opposed by: Caruso, ColePicks, DarthFader, MrBigBets, ParlaySafari, TheGuru","MLB|Toronto Blue Jays @ San Francisco Giants|ML|Toronto Blue Jays ML|15:45|Mike's Research Bot 1.0, Picks4Dayzzz, TheGamblingGawd, CashItBaby, DquanPicks, SRC Group, TTW, Sharp Investments"
226,stale_started,Started or event time has passed; do not enter from this table.,0.2529,0.36,-0.1071,0.3126,7,469,MLB,Houston Astros @ Washington Nationals,2026-07-08,18:45,,,,,Yes,ML,moneyline,Washington Nationals ML,-135,explicit_american,7,0,Yes,"BetSharper, ColePicks, Fern, NickyCashin, PardonMyPick, SRC Group, ThisGirlBetz",BetSharper,5.0,2.0,score_under_6,sources_4_plus,units_2_to_2_99,strong_support,event started/stale,event_started,Odds: -135,"MLB|Houston Astros @ Washington Nationals|ML|Washington Nationals ML|18:45|BetSharper, ColePicks, Fern, NickyCashin, PardonMyPick, SRC Group, ThisGirlBetz"
227,stale_started,Started or event time has passed; do not enter from this table.,0.2528,0.36,-0.1072,0.3126,7,472,MLB,Toronto Blue Jays @ San Francisco Giants,2026-07-08,15:45,,,,,Yes,ML,moneyline,Giants ML,-104,explicit_american,6,8,Yes,"ParlaySafari, MrBigBets, Caruso, ColePicks, DarthFader, TheGuru",ParlaySafari,5.4,2.0,score_under_6,sources_4_plus,units_2_to_2_99,strong_support,event started/stale,event_started,"Odds: -104; Opposed by: CashItBaby, DquanPicks, Mike's Research Bot 1.0, Picks4Dayzzz, SRC Group, Sharp Investments, TTW, TheGamblingGawd","MLB|Toronto Blue Jays @ San Francisco Giants|ML|Giants ML|15:45|ParlaySafari, MrBigBets, Caruso, ColePicks, DarthFader, TheGuru"
228,stale_started,Started or event time has passed; do not enter from this table.,0.2518,0.36,-0.1082,0.3126,7,484,MLB,Kansas City Royals @ New York Mets,2026-07-08,19:10,,,,,Yes,ML,moneyline,Mets ML,-155,explicit_american,4,0,Yes,"Picks4Dayzzz, NickyCashin, BetSharper, AlgoPicks",Picks4Dayzzz,5.5,2.0,score_under_6,sources_4_plus,units_2_to_2_99,strong_support,event started/stale,event_started,Odds: -155,"MLB|Kansas City Royals @ New York Mets|ML|Mets ML|19:10|Picks4Dayzzz, NickyCashin, BetSharper, AlgoPicks"
